Accion,Elemento,Tipo,Momento,Justificacion
ELIMINAR,Assets/_Project/Prefabs/Characters/Customers/Customer.prefab,Prefab,Tras migrar catálogo,Prefab genérico legacy sin referencias GUID entrantes
ELIMINAR,Assets/_Project/Prefabs/Characters/Employees/Employee.prefab,Prefab,Tras migrar catálogo,Prefab genérico legacy sin referencias GUID entrantes
ELIMINAR,Assets/_Project/Prefabs/Characters/Suppliers/Supplier.prefab,Prefab,Tras migrar catálogo,Prefab genérico legacy sin referencias GUID entrantes
ELIMINAR,Assets/_Project/Scripts/Runtime/Store/StoreVisualBuilder.cs,Script,Tras retirar Build procedural,Único soporte del camino procedural antiguo
REDUCIR,Assets/_Project/Scripts/Runtime/Development/Blockout/StoreBlockoutBuilder.cs,Script,Durante reconstrucción,Conservar solo el binding de escena autorada bajo otro servicio
ELIMINAR,Assets/_Project/Scripts/Runtime/Development/Blockout/StoreBlockoutVisualFactory.cs,Script,Tras validar todos los prefabs,Fallback de primitivas que oculta errores de autoría
ELIMINAR,StoreCharacterLoopController.SpawnSupplierPlaceholder(),Código,Durante consolidación de entrega,Crea una instancia inactiva sin responsabilidad
SUSTITUIR,GameObject.CreatePrimitive usado para crate,Código,Durante consolidación de entrega,Debe usar ReceivingCrate.prefab
ELIMINAR,Rutas legacy Characters/Employee Customer Supplier,Datos,Tras catálogo único,No corresponden a los wrappers actuales
MOVER,Assets/_Project/Scripts/Runtime/Development/Scenarios/CheckoutScenarioRunner.cs,Script,Antes del paquete final,Mover a Tests/TestSupport
MOVER,Assets/_Project/Scripts/Runtime/Development/Scenarios/EconomyScenarioRunner.cs,Script,Antes del paquete final,Mover a Tests/TestSupport
MOVER,Assets/_Project/Scripts/Runtime/Development/Scenarios/SaveRecoveryScenarioRunner.cs,Script,Antes del paquete final,Mover a Tests/TestSupport
MOVER,Assets/_Project/Scripts/Runtime/Development/Scenarios/ShoppingScenarioRunner.cs,Script,Antes del paquete final,Mover a Tests/TestSupport
MOVER,Assets/_Project/Scripts/Runtime/Development/Scenarios/StoreDayScenarioRunner.cs,Script,Antes del paquete final,Mover a Tests/TestSupport
MOVER,Assets/_Project/Scripts/Runtime/Development/Scenarios/StoreOperationsGoldenPathRunner.cs,Script,Antes del paquete final,Mover a Tests/TestSupport
MOVER,Assets/_Project/Scripts/Runtime/Development/Scenarios/UIUXScenarioRunner.cs,Script,Antes del paquete final,Mover a Tests/TestSupport
QUITAR_DE_BUILD,Assets/_Project/Scenes/Test/TestLab.unity,Escena,Antes del paquete final,Debe conservarse como laboratorio pero no incluirse en producción
ARCHIVAR,Assets/_Project/Editor/ProjectOrganization/ProjectAssetOrganizationMigration.cs,Editor tool,Tras reconstrucción,Herramienta one-shot histórica
ARCHIVAR,Assets/_Project/Editor/ProjectOrganization/ProjectAssetOrganizationPlayModeRepair.cs,Editor tool,Tras reconstrucción,Parchea código/test y no debe ser mantenimiento ordinario
ARCHIVAR,Assets/_Project/Editor/ProjectOrganization/ProjectAssetOrganizationPrefabFixtureRepair.cs,Editor tool,Tras reconstrucción,Reparación puntual sustituida por validador
DESCOMPONER,Assets/_Project/Editor/ProjectOrganization/RepresentativeAssetIntegrationTool.cs,Editor tool,Durante reconstrucción,Separar importador manual idempotente y validador read-only
ARCHIVAR,Assets/_Project/Editor/ProjectOrganization/RepresentativeRuntimeCatalogLinkRepair.cs,Editor tool,Tras catálogo único,Sustituir por validación no mutante
ARCHIVAR,Assets/_Project/Editor/ProjectOrganization/StoreInitial/StoreInitialSceneAuthoringTool.cs,Editor tool,Antes de editar prefabs,Rutas y dimensiones históricas; riesgo de sobrescritura
CAMBIAR,Assets/_Project/Editor/ProjectOrganization/AssetPipeline/SyntyCharacterIntegrationInstaller.cs,Editor tool,Antes de editar prefabs,Eliminar InitializeOnLoad y dejar importación manual idempotente si se conserva
CONSOLIDAR,CharacterPrefabLoader + catálogos legacy,Sistema,Durante reconstrucción,Un único ActorPrefabCatalog y CharacterPrefabFactory
CONSOLIDAR,StoreVisualPrefabFactory + authoring runtime,Sistema,Durante reconstrucción,Trasladar colliders offsets obstacles y anchors a prefabs
CONSOLIDAR,WalkableFloor + colliders globales + DynamicStoreNavMeshController,Sistema,Durante reconstrucción,Una autoridad Navigation dentro de StoreInitialEnvironment
CONSOLIDAR,Flujo proveedor + placeholder + crate primitiva,Sistema,Durante reconstrucción,Presenter idempotente por deliveryId y prefab de entrega
CONSERVAR,Assets/_Project/Scripts/Presentation/Store/Authoring/StoreInitialSceneContext.cs,Script,Siempre,Contrato explícito correcto; reforzar validación
CONSERVAR,Assets/_Project/Scripts/Runtime/Composition/StoreRuntimeCompositionRoot.cs,Script,Siempre,Composición válida; reducir búsquedas y componentes dinámicos
CONSERVAR,Assets/_Project/Prefabs/Store/StoreInitialEnvironment.prefab,Prefab,Siempre,Debe convertirse en autoridad de entorno colisión navegación y anchors
REVISAR,Assets/_Project/Prefabs/Expansions/**,Contenido,Antes del paquete final,Clasificar como núcleo futuro o descartado; no borrar por bajo conteo de referencias
