Path,Type,BaselineStatus,SizeBytes,Pages,SHA256
00_Project_Governance/00_Cartridge_And_Cloud_Guide_v0.4.pdf,pdf,Updated version,105014,19,07587b4bc74c59fb87a887454c679d0f670ab92180d7b7e437922d941a2a796a
00_Project_Governance/Cartridge_And_Cloud_Document_Migration_Plan_v0.1.pdf,pdf,Core content unchanged - baseline header aligned,38754,3,5c3f2fa8bfaae1476447296e17b470fa9b142b1229145ab348fef332766e3bf6
00_Project_Governance/Cartridge_And_Cloud_Documentation_Validation_Report_v0.2.pdf,pdf,Updated version,32668,2,680c5a900685d90ebae0311b301c87a9f2a4d97ffca9e66ebeec8d2a36cf6bde
00_Project_Governance/Cartridge_And_Cloud_Enfoque_v0.6.pdf,pdf,Core content unchanged - baseline header aligned,248732,75,782c7edc39f04bb54e2bd168e4ad3ddca750ad7ff8af2c77b05f84ed8b4cbc9d
00_Project_Governance/Cartridge_And_Cloud_Package_Manifest_v0.2.pdf,pdf,Updated version,36002,2,2fb3d34140d531bb28015e95ebed32e69d5e38f40fd2e591f99af99304035b5e
00_Project_Governance/Cartridge_And_Cloud_Project_Binder_Indice_Maestro_v0.4.pdf,pdf,Updated version,32834,2,bc1362d541745d2e5935c1c0d3140dfc49e5a957830760ea242e655164c9661e
00_Project_Governance/Enfoque_v0.6.md,md,Carried forward,122708,,6765207677c2adad0d124d20b9c27c82563eebc5eb3a0acb817dddbd148b3fbb
01_Design/Cartridge_And_Cloud_Economy_Balance_Specification_v0.1.pdf,pdf,Core content unchanged - baseline header aligned,90214,18,75b1684eaf50b546febc2608230524385fb5f7685be8d885c0cff309389af643
01_Design/Cartridge_And_Cloud_GDD_v0.4_PCSteam.pdf,pdf,Core content unchanged - baseline header aligned,233208,67,daf3d2376783c00533ce932e3da58dddd77b65fab1efa2aa7a141241dc125069
01_Design/Cartridge_And_Cloud_Initial_Content_Catalog_v0.1.pdf,pdf,Core content unchanged - baseline header aligned,81138,15,03be2e2f3c6f50ee0db68ff42a952b0b164cb480b6f4478a7ab02baf74c1fd29
01_Design/Cartridge_And_Cloud_UX_Flow_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,191110,53,a93ec6bf330e929ad03bc9b046f78937a8b13cb4b7facfb6fb5b98b7f4b5e3f6
01_Design/Cartridge_And_Cloud_Vertical_Slice_Specification_v0.2.pdf,pdf,Updated version,53623,5,d2505a3ba89c696248ddad9d0e3c4c7516eb0cf93b124111f2a4e3c6291bc46e
02_Technical/Cartridge_And_Cloud_Build_Versioning_Guide_v0.4.pdf,pdf,Updated version,46424,3,b26821c7646a0648c9bca240688bc7e3f82edd0c5ff853ac115e88ee3a742c4c
02_Technical/Cartridge_And_Cloud_CSharp_Coding_Standards_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,44429,3,996a4d5fe70a5a60c8e0194dfd167f527db03d9965cfdae83f6b8352447fec64
02_Technical/Cartridge_And_Cloud_Modelo_de_Datos_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,167248,46,7b23bfd9335d0cca818896512b434579a5c94b20eac7185a6928e02e19175ab9
02_Technical/Cartridge_And_Cloud_TDD_v0.4_Technical_Design_Document.pdf,pdf,Updated version,75576,12,b0f63b8bfcb72cb8b5a2671c6bdd3b51f8d79fffde681ae77be7539245f320ca
02_Technical/Cartridge_And_Cloud_Unity_Project_Setup_Guide_v0.4.pdf,pdf,Updated version,50446,4,c12af29fd274e9ae5e297364a7c48f65b78de03445aa666fcd8556339a7fc8b3
03_Visual_Audio/Cartridge_And_Cloud_Art_Bible_v0.3.pdf,pdf,Core content unchanged - baseline header aligned,61240,7,e11742ff33fd1b846ba63c46c029c949fafd19681cf39f473bfcb9d300d2bbc4
