ChangeId,Sprint,SubSprint,Area,Description,Evidence,Status
CHG-S4-001,4,S4.1,Domain,Deterministic grid coordinates and rotations,18 new tests and 84 full tests,Closed
CHG-S4-002,4,S4.1,Application,World/grid projection and logical bounds,18 new tests and 84 full tests,Closed
CHG-S4-003,4,S4.2,Presentation,Snapped placement preview and bounds feedback,12 new tests and 96 full tests,Closed
CHG-S4-004,4,S4.2,Input,Q/E quarter-turn rotation through Gameplay actions,12 new tests and 96 full tests,Closed
CHG-S4-005,4,S4.2,Editor,TestLab preview installer and validator,Manual and automated validation,Closed
CHG-S4-006,4,S4.3,Domain,Stable placement instance IDs and records,22 new tests and 118 full tests,Closed
CHG-S4-007,4,S4.3,Application,Atomic occupancy registry and overlap validation,22 new tests and 118 full tests,Closed
CHG-S4-008,4,S4.3,Application,Movement and placement input conflict policy,Regression validation,Closed
CHG-S4-009,4,S4.3,Presentation,Confirmed placement views and removal,Manual removal validation,Closed
CHG-S4-010,4,S4.3,Input,B Escape Delete Backspace construction controls,Input tests and manual validation,Closed
CHG-S4-011,4,S4.3,Editor,Occupancy TestLab installer and validator,Manual and automated validation,Closed
CHG-S4-012,4,S4.3,QA,Occupancy overlap removal and runtime coverage,118 full tests,Closed
CHG-S4-013,4,S4.4,Integration,Reproducible empty TestLab closure baseline,Final validator PASS,Closed
CHG-S4-014,4,S4.4,Versioning,Application version 0.0.5,EditMode and external Player PASS,Closed
CHG-S4-015,4,S4.4,QA,Final 118 test regression,87 EditMode and 31 PlayMode PASS,Closed
CHG-S4-016,4,S4.4,Build,Windows x64 Development build and external run,Build and execution PASS,Closed
CHG-S4-017,4,S4.4,Governance,Final technical implementation published,bcf8cdd309d89570b5b58a0735154b4863e2aebc,Closed
