Punto;Área;Hallazgo inicial;Integración aplicada;Archivos/ámbitos principales;Revisión;Estado
01;Baseline e inventario;"Navegación dependiente de collider técnico interior; prefabs incompletos y fallbacks runtime.";"Baseline preservada; auditoría, matriz e inventario incluidos sin modificar.";"01_Auditoria_Estructural_Baseline.md; 02_Registro_Depuracion_Baseline.csv; 03_Matriz_Prefabs_Baseline.csv";Revisión inicial completada;PASS
02;Autoridad de navegación;NavMesh global, volumen interior antiguo y rebakes ligados a eventos no geométricos.;StoreInitialEnvironment posee Navigation/Collision/Anchors, tres superficies caminables técnicas y un único NavMeshSurface Children+PhysicsColliders. Controlador sin escaneos globales ni suscripciones económicas.;"StoreInitialEnvironment.prefab; StoreNavigationAuthoring.cs; DynamicStoreNavMeshController.cs; StoreInitial.unity";"Validador: Environment navigation authority; Scene navigation cleanup; Single runtime navigation source";PASS
03;Prefabs físicos y funcionales;Colliders, obstáculos y spots generados o compensados durante ejecución.;Contratos físicos serializados en arquitectura, productos, expansiones y mobiliario. Ocho muebles con Collision, NavMeshObstacle y Anchors funcionales.;"PrefabPhysicalContractAuthoring.cs; StoreFixturePrefabAuthoring.cs; StoreFixtureNavigationObstacle.cs; Prefabs/Architecture; Prefabs/Products; Prefabs/Expansions; Prefabs/Furniture";"Validador: physical contracts; furniture anchors/obstacles";PASS
04;Puerta automática;Sensor y comportamiento dependientes de búsquedas/fallbacks.;AutomaticDoor.prefab autosuficiente con sensor, Rigidbody, tres colliders, paneles y anchors. Eliminada búsqueda global de CharacterPresence.;"AutomaticDoor.prefab; AutomaticDoorSensor.cs; AutomaticSlidingDoorController.cs";"Validador: Self-contained automatic door; No global sensor fallback";PASS
05;Personajes y catálogos;Prefabs genéricos legacy, rutas hardcoded y perfiles físicos incompletos.;Siete wrappers actuales con CapsuleCollider trigger, NavMeshAgent, ActorPrefabAuthoring, CharacterPresence y locomoción. Catálogo de referencias directas y fábrica única.;"Resources/Characters; ActorPrefabCatalogAsset.cs; CharacterPrefabFactory.cs; PresentationCatalog.asset; SyntyCharacterIntegrationInstaller.cs";"Validador: Seven complete actor wrappers; direct catalog; contract-safe installer";PASS
06;Jugador técnico;Identidad añadida en runtime y visual con riesgo de duplicar agente/collider.;CharacterPresence autorado en StoreInitial. Binder sin AddComponent. El visual desactiva collider y NavMeshAgent propios al montarse sobre TechnicalPlayer.;"StoreInitial.unity; AuthoredStoreRuntimeBinder.cs; PlayerCharacterVisualBootstrap.cs";"Validador: Technical player presence is authored; visual physical components disabled";PASS
07;Entrega de proveedores;Presentación susceptible de duplicación y uso de placeholders/primitivas.;Registro idempotente por orderId, prefab SupplierDeliveryView, proveedor real y ReceivingCrate. Una secuencia activa/completada por correlación.;"DeliveryPresentationRegistry.cs; SupplierDeliveryPresenter.cs; SupplierDeliveryView.cs/.prefab; StoreOperationsFacade.cs; StoreRuntimeCompositionRoot.cs";Validador: Idempotent delivery presentation;PASS
08;Runtime y fallbacks;Builders, loaders, visuales procedurales y settings de blockout coexistían con autoría.;Binder estricto, fábrica estricta, sin GameObject.CreatePrimitive en producción, sin símbolos legacy ni setting BuildBlockout.;"AuthoredStoreRuntimeBinder.cs; StorePrefabFactory.cs; StoreRuntimeSettingsAsset.cs; Scripts/Runtime";"Validador: Experimental builders/loaders removed; No primitive fallback; Legacy blockout settings removed";PASS
09;Herramientas y pruebas;Migraciones one-shot ejecutables y scenario runners dentro del runtime.;"Migraciones archivadas fuera de Assets; instalador Synty solo por menú; siete runners movidos a Tests/TestSupport; validador Editor read-only y suite EditMode estructural.";"Tools/ArchivedUnityEditorMigrations/U012; Tests/TestSupport; StoreStructuralValidationTool.cs; StoreStructuralContractTests.cs";Validador: archive/tests checks;PASS
10;Build Settings;TestLab incluido en build productivo.;"Bootstrap, MainMenu y StoreInitial habilitadas; TestLab conservado pero deshabilitado.";ProjectSettings/EditorBuildSettings.asset;Validador: Production scene list;PASS
11;Integridad serializada;Se detectaron dos referencias fileID colgantes durante la primera auditoría integral.;Eliminado hijo huérfano del entorno y enlazado EntranceTransition correcto en escena. Metas/GUIDs/fileIDs revalidados.;"StoreInitialEnvironment.prefab; StoreInitial.unity";"Validador: file/meta pairs; unique GUIDs; local fileID references";PASS
12;Cierre estático;Sin compilador/Editor Unity disponible en el entorno.;"42 comprobaciones estructurales, serializadas, de asmdef y balance léxico; 0 fallos, 1 info de referencias externas de paquetes.";"Tools/Validation/u012_static_validate.py; 06_Validacion_Estructural_Prepaquete.json";Ejecución prepaquete;PASS
