ID,Date,Type,Block,Change,State,Evidence
CHG-S1-001,2026-06-23,Code,S1.2,Add scene-flow application contracts,Closed,Technical commit on main
CHG-S1-002,2026-06-23,Code,S1.3,Add persistent Bootstrap ApplicationRoot,Closed,14/14 tests and external run
CHG-S1-003,2026-06-23,Code,S1.4,Add MainMenu technical controller and UI,Closed,PlayMode and external run
CHG-S1-004,2026-06-23,Code,S1.5,Add Store return flow,Closed,PlayMode and external run
CHG-S1-005,2026-06-23,Test,S1.6,Expand automatic suite from 9 to 14 tests,Closed,6/6 EditMode and 8/8 PlayMode
CHG-S1-006,2026-06-23,Configuration,S1.7,Advance application version to 0.0.2,Closed,Windows x64 build PASS
CHG-S1-007,2026-06-23,Documentation,S1.8,Record Sprint 1 QA traceability and impact,Closed,Sprint 01 closure records
CHG-S1-008,2026-06-23,Defect,S1.8,Correct duplicate Input System default-action assignment,Closed,Scenes generated successfully
CHG-S1-009,2026-06-23,Defect,S1.8,Qualify UnityEngine.Application.Quit for Player build,Closed,Windows build and external Quit PASS
CHG-S1-010,2026-06-23,Governance,S1.8,Adopt phase-level checksum tag release and baseline policy,Accepted,ADR-0010
